"ID";"LIBELLE";"CV_ID";"RESULTAT_ID"
1;"CLASSE CI B";1;0
2;"CLASSE CI A";1;0
3;"CLASSE CP B";1;0
4;"CLASSE CP A";1;0
5;"CLASSE CE1 B";1;0
6;"CLASSE CE1 A";1;0
7;"CLASSE CE2 B";1;0
8;"CLASSE CE2 A";1;0
9;"CM1A";1;0
10;"SALLE DE CLASSE";1;0
11;"CLASSE CI A";2;0
12;"CLASSE CI B";2;0
13;"CLASSE CI C";2;0
14;"CLASSE CP A";2;0
15;"CLASSE CP B";2;0
16;"CLASSE CP C";2;0
17;"CLASSE CM 2 A";2;0
18;"CLASSE CM 2 B";2;0
19;"CLASSE CM 2 C";2;0
20;"CLASSE CE 1 C";2;0
21;"CLASSE CE 1 B";2;0
22;"CLASSE CE 1 A";2;0
23;"CLASSE CE 2 B";2;0
24;"CLASSE CE 2 C";2;0
25;"CLASSE CE 2 A";2;0
26;"CLASSE CM 1 C";2;0
27;"CLASSE CM 1 B";2;0
28;"CLASSE CM 1 A";2;0
29;"ABRI PROVISOIRE";2;0
30;"ABRI PROVISOIRE";2;0
31;"ABRI PROVISOIRE";2;0
32;"ABRI PROVISOIRE";2;0
33;"ABRI PROVISOIRE";2;0
34;"CLASSE CI A";3;0
35;"CLASSE CE 2 C";3;0
36;"CLASSE CP A";3;0
37;"CLASSE CM 2 C";3;0
38;"CLASSE CM 2 B";3;0
39;"CLASSE CE 2 A";4;0
40;"CLASSE CE 2 B";4;0
41;"CLASSE CM 1 A";4;0
42;"CLASSE CM 1 B";4;0
43;"CLASSE CM 2 A";4;0
44;"CLASSE CM 2 B";4;0
45;"CLASSE CM 1 A";5;0
46;"CLASSE CM 1 B";5;0
47;"CLASSE CE 2 A";5;0
48;"CLASSE CE 2 B";5;0
49;"CLASSE CP A";5;0
50;"CLASSE CP B";5;0
51;"CLASSE CE 1 B";5;0
52;"CLASSE CE 1 A";5;0
53;"SALLE DE CLASSE";5;0
54;"SALLE DE CLASSE";5;0
55;"CLASSE CI A";6;0
56;"CLASSE CI B";6;0
57;"CLASSE CE 1 A";6;0
58;"CLASSE CE 1 B";6;0
59;"CLASSE CE 2 A";6;0
60;"CLASSE CP A";6;0
61;"CLASSE CP B";6;0
62;"CLASSE CE 2 B";6;0
63;"CLASSE CM 1 A";6;0
64;"CLASSE CM 1 B";6;0
65;"CLASSE CM 1 C";6;0
66;"CLASSE CM 2 C";6;0
67;"GRANDE SALLE";7;0
68;"SALLE DES ARCHIVES";7;0
69;"SALLE DE SECTION MARIAGES";7;0
70;"SALLE DU DISPENSAIRE";7;0
71;"CLASSE CM2A";8;0
72;"CLASSE CM2B";8;0
73;"CLASSE CM1A";8;0
74;"CLASSE CM1B";8;0
75;"CLASSE CIB";8;0
76;"CLASSE CIA";8;0
77;"CLASSE CPA";8;0
78;"CLASSE CPB";8;0
79;"CLASSE CE1B";8;0
80;"CLASSE CE1A";8;0
81;"SALLE DE CLASSE";8;0
82;"SALLE DE CLASSE";8;0
83;"SALLE DE CLASSE";8;0
84;"SALLE DE CLASSE";8;0
85;"SALLE DE CLASSE";8;0
86;"SALLE DE CLASSE";8;0
87;"CLASSE CE2A SEYDINA I. LAYE A";9;0
88;"CLASSE CE1A SEYDINA I. LAYE A";9;0
89;"CLASSE CE1B SEYDINA I. LAYE A";9;0
90;"CLASSE CE2B SEYDINA I. LAYE A";9;0
91;"CLASSE CE2A SEYDINA I. LAYE B";9;0
92;"CLASSE CE2B SEYDINA I. LAYE B";9;0
93;"CLASSE CE1A SEYDINA I. LAYE B";9;0
94;"CLASSE CE1B SEYDINA I. LAYE B";9;0
95;"CLASSE CPA SEYDINA I. LAYE B";9;0
96;"CLASSE CPB SEYDINA I. LAYE B";9;0
97;"CLASSE CIA SEYDINA I. LAYE B";9;0
98;"CLASSE CIB SEYDINA I. LAYE B";9;0
99;"CLASSE CM2A SEYDINA I. LAYE A";9;0
100;"CLASSE CM2B SEYDINA I. LAYE A";9;0
101;"CLASSE CPA SEYDINA I. LAYE A";9;0
102;"CLASSE CPB SEYDINA I. LAYE A";9;0
103;"CLASSE CIA SEYDINA I. LAYE A";9;0
104;"CLASSE CIB SEYDINA I. LAYE A";9;0
105;"SALLE DE CLASSE";9;0
106;"SALLE DE CLASSE";9;0
107;"SALLE DE CLASSE";9;0
108;"SALLE DE CLASSE";9;0
109;"SALLE DE CLASSE";9;0
110;"SALLE DE CLASSE";9;0
111;"SALLE DE CLASSE";9;0
112;"SALLE DE CLASSE";9;0
113;"CLASSE CM2 B";10;0
114;"CLASSE CM1 C";10;0
115;"CLASSE CM1 B";10;0
116;"CLASSE CM1 A";10;0
117;"CLASSE CE2 B";10;0
118;"CLASSE CE2 A";10;0
119;"CLASSE CE2 C";10;0
120;"CLASSE CE1 C";10;0
121;"CLASSE CP B";10;0
122;"CLASSE CP A";10;0
123;"CLASSE CI B";10;0
124;"CLASSE CI A";10;0
125;"CLASSE CM2 A";10;0
126;"SALLE DE CLASSE";10;0
127;"CLASSE CP A COURS A";11;0
128;"CLASSE CP B COURS A";11;0
129;"CLASSE CE1 A COURS A";11;0
130;"CLASSE CM2 A COURS A";11;0
131;"CLASSE CM2 B COURS A";11;0
132;"CLASSE CE2 B COURS A";11;0
133;"CLASSE CM1 A COURS A";11;0
134;"CLASSE CM2 COURS B";11;0
135;"CLASSE CM1 COURS B";11;0
136;"CLASSE CE1 COURS B";11;0
137;"CLASSE CP COURS B";11;0
138;"SALLE DE CLASSE";11;0
139;"CLASSE CE1 B COURS A";12;0
140;"CLASSE CE1 A COURS A";12;0
141;"CLASSE CPB COURS A";12;0
142;"CLASSE CP A COURS A";12;0
143;"CLASSE CI B COURS A";12;0
144;"CLASSE CI A COURS A";12;0
145;"CLASSE CE2 B COURS A";12;0
146;"CLASSE CM1A COURS A";12;0
147;"CLASSE CM1 B COURS A";12;0
148;"CLASSE CM2 A COURS A";12;0
149;"CLASSE CM2 B COURS A";12;0
150;"CLASSE CP COURS B";12;0
151;"CLASSE CM2 COURS B";12;0
152;"CLASSE CM1 A COURS B";12;0
153;"SALLE DE CLASSE";12;0
154;"SALLE DE CLASSE";12;0
155;"SALLE DE CLASSE";12;0
156;"SALLE N° 1";13;0
157;"SALLE N° 2";13;0
158;"SALLE N° 3";13;0
159;"SALLE N° 4";13;0
160;"SALLE AUIDITORIUM";14;0
161;"SALLE 1";14;0
162;"SALLE 2";14;0
163;"SALLE 1";15;0
164;"SALLE 2";15;0
165;"SALLE 3";15;0
166;"SALLE 4";15;0
167;"SALLE 2 NOUVEAU BATIMENT";15;0
168;"SALLE DE CLASSE";15;0
169;"SALLE DE CLASSE";15;0
170;"CLASSE CM 1 A";16;0
171;"CLASSE CM1 B";16;0
172;"CLASSE CIA";17;0
173;"CLASSE CP A";17;0
174;"CLASSE CM1 A";17;0
175;"CLASSE CE2 B";17;0
176;"CLASSE CE2 A";17;0
177;"CLASSE CE1 A";18;0
178;"CLASSE CM2 A";18;0
179;"CLASSE CM1 A";18;0
180;"CLASSE CI B";18;0
181;"CLASSE CI A";19;0
182;"CLASSE CI B";19;0
183;"CLASSE CP A";19;0
184;"CLASSE CP B";19;0
185;"CLASSE CE1 A";19;0
186;"SALLE DE CLASSE";19;0
187;"SALLE PETITE SECTION";20;0
188;"CLASSE C I";20;0
189;"CLASSE CP";20;0
190;"SALLE CM2";20;0
191;"SALLE DE CLASSE";21;0
192;"SALLE DE CLASSE";21;0
193;"SALLE DE CLASSE";21;0
194;"SALLE DE CLASSE";21;0
195;"SALLE DE CLASSE";21;0
